Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
0;0;0;C;35/42;1;Externo;267401;GRISSINI NATURAL 120G CROSTITI;CROSTITI;GRISSINI NATURAL 120G CROSTITI;UN;4,42;0,00;N;;;0,12;267401;2674;4,4200;7898947706870;;;GRISSINI NATURAL 120G CROSTITI
23;0;;;35/42;1;Externo;248515;GRISSINI NATURAL 120G CX C/15;GRISSINI;GRISSINI  NATURAL;CX;110,40;0,00;N;;156;1,8;248515;;7,3600;7896207802485;;P ACAB - 2206;GRISSINI NATURAL 120G CX C/15
;;0;C;35/42;1;Externo;227801;GRISSINI NATURAL 120G LA PETISSE;LA PETISSE;GRISSINI - LA PET;UN;2,83;0,00;N;;;0,12;227801;2278;2,8300;0736532235152;;P ACAB - 22104;GRISSINI NATURAL 120G LA PETISSE
23;0;;;35/42;1;Externo;80315401;GRISSINI NATURAL 200G;WALMART;WALMART;UN;7,83;1500,00;;;;0,2;80315401;803154;7,8300;7896207803154;;P ACAB - 2209;GRISSINI NATURAL 200G
;;;;35/42;1;Externo;80315420;GRISSINI NATURAL 200G CX C/20;WALMART;WALMART;CX;166,47;75,00;;;118;4;80315420;;8,3235;;;P ACAB - 2209;GRISSINI NATURAL 200G CX C/20
;;;;35/42;1;Externo;246920;GRISSINI NATURAL 90G CF CX C/20;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;CX;40,00;0,00;N;;;1,8;246920;;2,0000;;;;GRISSINI NATURAL 90G CF CX C/20
23;0;;;35/42;1;Externo;261401;GRISSINI PARMESAO 120G;GRISSINI;GRISSINI PARMESAO;UN;7,36;300,00;;;;0,12;261401;2614;7,3600;7896207802614;;P ACAB - 2212;GRISSINI PARMESAO 120G
0;0;0;C;35/42;1;Externo;268101;GRISSINI PARMESAO 120G CROSTITI;CROSTITI;GRISSINI PARMESAO 120G CROSTITI;UN;4,42;0,00;N;;;0,12;268101;2681;4,4200;7898947706887;;;GRISSINI PARMESAO 120G CROSTITI
23;0;;;35/42;1;Externo;261415;GRISSINI PARMESAO 120G CX C/15;GRISSINI;GRISSINI PARMESAO;CX;110,40;20,00;;;221;1,8;261415;;7,3600;7896207802614;;P ACAB - 2212;GRISSINI PARMESAO 120G CX C/15
;;0;C;35/42;1;Externo;226101;GRISSINI PARMESAO 120G LA PETISSE;LA PETISSE;GRISSINI - LA PET;UN;3,20;0,00;N;;;0,12;226101;2261;3,2000;0736532235169;;P ACAB - 22103;GRISSINI PARMESAO 120G LA PETISSE
23;0;0;C;35/42;1;Externo;397001;GRISSINI PARMESAO 200G;WALMART;WALMART;UN;7,83;1080,00;;;;0,2;397001;3970;7,8300;7896207803970;;P ACAB - 22324;GRISSINI PARMESAO 200G
;;;;35/42;1;Externo;397020;GRISSINI PARMESAO 200G CX C/20;WALMART;WALMART;CX;184,45;54,00;;;89;4;397020;;9,2225;;;P ACAB - 22324;GRISSINI PARMESAO 200G CX C/20
;;;;35/42;1;Externo;247620;GRISSINI PARMESAO 90G CF CX C/20;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;CX;40,00;0,00;N;;;1,8;247620;;2,0000;;;;GRISSINI PARMESAO 90G CF CX C/20
23;0;;;35/42;1;Externo;263801;GRISSINI PIZZA 120G;GRISSINI;GRISSINI PIZZA;UN;7,36;795,00;;;;0,12;263801;2638;7,3600;7896207802638;;P ACAB - 2217;GRISSINI PIZZA 120G
